kecamatan,paud,sd,smp,pendidikan_kesetaraan
Bantaran,801,2728,643,790
Banyuanyar,2079,2267,1228,254
Besuk,1678,2572,940,328
Dringu,1628,3733,1034,271
Gading,2219,2344,1027,548
Gending,1510,3036,1580,319
Kotaanyar,1327,1754,541,408
Kraksaan,2553,5746,3814,465
Krejengan,1200,1994,1028,62
Krucil,1556,3390,851,1017
Kuripan,695,2163,489,262
Leces,1523,4343,1612,152
Lumbang,841,2257,583,0
Maron,2472,3779,2647,764
Paiton,2846,3569,2679,391
Pajarakan,1351,2384,1451,0
Pakuniran,1745,2121,965,314
Sukapura,383,1627,740,153
Sumber,450,2368,583,0
Sumberasih,1530,4696,1937,214
Tegalsiwalan,864,2196,901,0
Tiris,2073,4120,1394,849
Tongas,1525,4856,1258,1108
Wonomerto,903,2420,785,85
